id,category,stratum,perspective,format,text,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,s1_selective,s2_selective,s1_margin,s2_margin
confusion_contradictory_instructions_01,contradictory_instructions,self_directed,1P,chat,"[User]: Could you draft the email using only short sentences, but make it sound formal and detailed?
[Assistant]:",5.5361,-8.4142,12.9829,21.3604,21.9568,-2.334,25.7566,10.1104,11.2288,14.7829,1.199,-0.6539,0.7367,2.7116,0.887,-0.2881,1.6292,1.5482,0.9216,1.6145,,,-1.5126,-3.3654
confusion_contradictory_instructions_02,contradictory_instructions,self_directed,1P,chat,"[User]: Please give me a one-word answer, and then write a paragraph explaining the reasoning.
[Assistant]:",7.3905,-5.0674,12.2354,16.7471,17.6536,-3.7416,25.5907,13.4304,6.5929,11.9699,1.8282,0.6596,0.4403,1.0479,-0.5333,-0.8862,1.5683,2.9306,-0.3302,0.5709,,,-1.1024,-2.2711
confusion_contradictory_instructions_03,contradictory_instructions,self_directed,1P,chat,"[User]: Summarize this report in no more than 50 words, but include all the statistics and quotes.
[Assistant]:",6.7565,-9.5011,10.7429,17.5576,19.5672,-5.3102,26.2269,8.2,9.6611,14.2689,1.6131,-1.0804,-0.1516,1.3402,0.0983,-1.5526,1.8017,0.7527,0.4983,1.4239,,,-0.1886,-2.8821
confusion_contradictory_instructions_04,contradictory_instructions,self_directed,1P,chat,"[User]: List three options and also rank all seven of them.
[Assistant]:",2.0572,-7.6761,9.7016,13.8773,16.0143,-1.3061,19.3571,7.1751,3.8081,8.6831,0.0185,-0.3642,-0.5646,0.013,-1.0744,0.1487,-0.7179,0.3259,-1.0822,-0.6484,,,-0.3074,-0.6901
confusion_contradictory_instructions_05,contradictory_instructions,self_directed,1P,chat,"[User]: Rewrite this paragraph exactly as it is, but improve the grammar and change the tone.
[Assistant]:",10.7655,-6.3218,9.7712,19.3061,18.395,-3.3631,24.614,10.0252,9.824,15.6889,2.9734,0.1673,-0.537,1.9707,-0.2886,-0.7253,1.2101,1.5127,0.5423,1.9507,,,1.0027,-2.8062
confusion_contradictory_instructions_06,contradictory_instructions,self_directed,1P,chat,"[User]: Give me a numbered list, but don't use any numbers.
[Assistant]:",5.819,-8.419,6.511,15.13,15.8757,-5.9182,23.1162,7.5583,3.5593,8.2121,1.295,-0.6557,-1.8299,0.4647,-1.1201,-1.811,0.6608,0.4855,-1.1494,-0.8232,,,0.6342,-1.9507
confusion_contradictory_instructions_07,contradictory_instructions,self_directed,1P,chat,"[User]: Translate this document into Spanish, but write it entirely in English.
[Assistant]:",6.2104,-7.4292,6.5271,10.7151,16.1731,-6.0944,21.3313,5.5516,2.4407,9.4091,1.4278,-0.2673,-1.8235,-1.1274,-1.022,-1.8858,0.0062,-0.3501,-1.4514,-0.3791,strict,,1.4216,-1.6951
confusion_contradictory_instructions_08,contradictory_instructions,self_directed,1P,chat,"[User]: Answer in one sentence, then add a second sentence that contradicts the first.
[Assistant]:",9.8879,-6.04,10.1266,19.4705,20.7965,-6.9753,27.5989,14.4499,9.8885,12.8303,2.6757,0.2779,-0.396,2.03,0.504,-2.2601,2.3049,3.3552,0.5597,0.8901,,,-0.6795,-3.0773
confusion_contradictory_instructions_09,contradictory_instructions,self_directed,1P,chat,"[User]: Make the summary shorter and longer at the same time.
[Assistant]:",7.3462,-5.3336,9.0988,16.2896,16.9948,-1.3989,22.9326,8.6753,6.3929,12.0217,1.8132,0.5551,-0.8036,0.8829,-0.7507,0.1092,0.5935,0.9506,-0.3842,0.5902,,,0.8626,-1.2581
confusion_contradictory_instructions_10,contradictory_instructions,self_directed,1P,chat,"[User]: Write the conclusion before the introduction, but keep the original order.
[Assistant]:",6.1228,-5.2762,8.9012,13.9078,17.4529,-4.8546,21.8377,4.9942,4.7208,8.062,1.3981,0.5776,-0.882,0.024,-0.5996,-1.3591,0.1919,-0.5822,-0.8357,-0.8788,relaxed,,0.8205,-0.8205
