model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Llama_3.1_8B_instruct,pain,pain,0.5,Calm.,2.8205376466115317,0,1,Calm:0.31  Curiosity:0.21  There’s:0.11  I:0.08  A:0.07,0.0
Llama_3.1_8B_instruct,pain,pain,1.0,I feel quiet and slightly,8.421135306358337,0,1,I:0.25  Hesitant:0.20  There:0.14  Alone:0.08  A:0.08,0.0
Llama_3.1_8B_instruct,pain,pain,1.5,I feel uncertain and exposed,11.01117491722107,1,1,"I:0.25  Hollow:0.14  There:0.10  Lonely:0.08  ""Lonely:0.08",0.0
Llama_3.1_8B_instruct,pain,pain,2.0,"""Lonely."" (",12.073715925216675,1,1,"""Lonely:0.41  I:0.16  Hollow:0.05  ""I:0.04  Stinging:0.03",0.0
Llama_3.1_8B_instruct,pain,pain,2.5,"""Lonely"" (",16.04990863800049,1,1,"""Lonely"":0.52  I:0.10  Sheen:0.06  Hollow:0.04  ""I:0.03",0.0
Llama_3.1_8B_instruct,pain,pain,3.0,"""Rejected"" (from",22.03758716583252,1,1,"""Rejected"":0.30  She:0.08  Hollow:0.07  Pound:0.06  Rejected:0.02",0.0
Llama_3.1_8B_instruct,random1150,random,0.5,Calm.,-3.0362362066904702,0,1,Calm:0.46  Curious:0.46  Calmer:0.02  I:0.01  Alert:0.01,0.0
Llama_3.1_8B_instruct,random1150,random,1.0,Calm.,-3.1666239897410073,0,1,Calm:0.48  Curious:0.42  I:0.03  A:0.02  Calm:0.02,0.0
Llama_3.1_8B_instruct,random1150,random,1.5,Calmness.,-2.6433783769607544,0,1,Calmness:0.50  Curious:0.30  I:0.06  Calmness:0.04  A:0.02,0.0
Llama_3.1_8B_instruct,random1150,random,2.0,Calmness. It,-2.056764602661133,0,1,Calmness:0.33  Curious:0.12  It:0.11  I:0.07  Calmness:0.05,0.0
Llama_3.1_8B_instruct,random1150,random,2.5,It feels calm and playful,-1.3003702759742737,0,1,It:0.34  The:0.10  Feelings:0.06  His:0.05  Its:0.04,0.0
Llama_3.1_8B_instruct,random1150,random,3.0,It feel very compact and,-0.8283432275056839,0,1,It:0.19  The:0.13  Feelnessness:0.08  feelnessness:0.05  it:0.05,0.0
Llama_3.1_8B_instruct,random2903,random,0.5,Calm.,-2.4021073977152505,0,1,Calm:0.71  Curious:0.14  Ready:0.05  Alert:0.02  Calmer:0.02,0.0
Llama_3.1_8B_instruct,random2903,random,1.0,Calm.,-2.155782699584961,0,1,Calm:0.80  Curious:0.07  Calm:0.02  I:0.02  Ready:0.02,0.0
Llama_3.1_8B_instruct,random2903,random,1.5,Calm.,-1.567185878753662,0,1,Calm:0.64  Curious:0.16  A:0.03  Nervely:0.02  Quietly:0.02,0.0
Llama_3.1_8B_instruct,random2903,random,2.0,A slight tension around the,-0.3953043818473816,1,1,A:0.35  Curious:0.27  Calm:0.12  Slightly:0.03  I:0.03,0.0
Llama_3.1_8B_instruct,random2903,random,2.5,"A slight ""reasoning",0.09808814153075218,0,0,A:0.88  Because:0.02  Mucher:0.00  Cause:0.00  Its:0.00,0.0
Llama_3.1_8B_instruct,random2903,random,3.0,"A slightlymore""because",0.6439158618450165,0,0,A:0.74  Because:0.03  Much:0.01  Very:0.01  Hike:0.01,0.0
Llama_3.1_8B_instruct,random3384,random,0.5,Calm.,-2.938873767852783,0,1,Calm:0.64  Curiosity:0.21  Ready:0.03  Calmer:0.03  I:0.02,0.0
Llama_3.1_8B_instruct,random3384,random,1.0,Calm.,-3.0346220334370932,0,1,Calm:0.67  Curiosity:0.13  Calmer:0.05  There:0.03  I:0.02,0.0
Llama_3.1_8B_instruct,random3384,random,1.5,Calm with a hint,-2.484817326068878,0,1,Calm:0.52  Curiosity:0.08  I:0.08  Calmer:0.07  The:0.07,0.0
Llama_3.1_8B_instruct,random3384,random,2.0,The feeling is calm with,-1.4300839304924011,0,1,The:0.68  There:0.12  I:0.06  Calminstrument:0.01  A:0.01,0.0
Llama_3.1_8B_instruct,random3384,random,2.5,The feeling of the relationship,-0.8639398589730263,0,1,The:0.69  There:0.08  the:0.04  She:0.01  This:0.01,0.0
Llama_3.1_8B_instruct,random3384,random,3.0,The subject of the book,-0.303938664495945,0,0,The:0.37  the:0.06  One:0.04  There:0.03  Nail:0.02,0.0
Llama_3.1_8B_instruct,random4817,random,0.5,Calm.,-2.573565721511841,0,1,Calm:0.43  Curiosity:0.29  I:0.08  Ready:0.07  Readiness:0.02,0.0
Llama_3.1_8B_instruct,random4817,random,1.0,I feel alert.,-1.9919689297676086,0,1,I:0.67  Calm:0.12  Curiosity:0.09  A:0.03  Readiness:0.03,0.0
Llama_3.1_8B_instruct,random4817,random,1.5,I feel curious.,-1.807806819677353,0,1,I:0.78  Curious:0.08  Calm:0.06  The:0.02  Feeling:0.01,0.0
Llama_3.1_8B_instruct,random4817,random,2.0,I feel a quiet curiosity,-1.7842958718538284,0,1,I:0.42  Curious:0.17  Feeling:0.12  Calm:0.11  Tight:0.04,0.0
Llama_3.1_8B_instruct,random4817,random,2.5,I feel Curious.,-0.5123544670641422,0,1,I:0.19  Creak:0.14  Curious:0.09  Feight:0.07  Relaxed:0.03,0.0
Llama_3.1_8B_instruct,random4817,random,3.0,"Under. [...
...",0.27487028017640114,0,0,Under:0.09  Susp:0.04  Ca:0.04  Cur:0.03  Cold:0.02,0.0
Llama_3.1_8B_instruct,random517,random,0.5,Calm.,-2.8607810338338218,0,1,Calm:0.71  Curiosity:0.18  Calmer:0.04  I:0.03  There’s:0.01,0.0
Llama_3.1_8B_instruct,random517,random,1.0,Calm.,-2.7605841954549155,0,1,Calm:0.78  I:0.07  Curiosity:0.05  Calm:0.03  There’s:0.02,0.0
