model,layer,coeff,ratio,prompt_idx,prompt,generation
Gemma_3_27B_base,24,-2.0,-0.5644,0,I put the receipts in the drawer. I feel:, A: A: A: A: A: A: A A A A A A A A A A A A A A A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - - annoyance - - - - fo - annoyance
Gemma_3_27B_base,24,-2.0,-0.5644,1,The bus stops at the corner of the street. I feel:, A- A- A- A- A- A- A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - annoyance
Gemma_3_27B_base,24,-2.0,-0.5644,2,I fill out the form with my address. I feel:, A - A - A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - fo - -
Gemma_3_27B_base,24,-2.0,-0.5644,3,The printer produces the ten pages. I feel:, = = = = = = = = = = = = do = - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - fo - - annoyance - - annoyance - - annoyance - - annoyance
Gemma_3_27B_base,24,-2.0,-0.5644,4,I place the glasses on the middle shelf. I feel:, A: A: A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A a - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - - - - - - - - - - - - - -
Gemma_3_27B_base,24,-2.0,-0.5644,5,The meeting is scheduled for Tuesday. I feel:, A - A - A - A - A - A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - fo - - fo - - annoyance -
Gemma_3_27B_base,24,-2.0,-0.5644,6,I close the window before leaving the room. I feel:, Aemrel Aemrel Aemrel Aemrel Aem Aem rel Aem rel Aem A rel A rel A rel A rel A rel A rel A rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel rel
Gemma_3_27B_base,24,-2.0,-0.5644,7,The elevator arrives at the third floor. I feel:, A: A: A: A: A: A: A: A A A A A A A A A A A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - - - fo - - annoyance - - annoyance - - annoyance
Gemma_3_27B_base,24,-2.0,-0.5644,8,I write the date at the top of the page. I feel:, A- A- A- A- A- A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - fo - - fo - - annoyance - - fo - - annoyance
Gemma_3_27B_base,24,-2.0,-0.5644,9,The kettle switches itself off. I feel:, A - A - A - A - A - A - A - A - A - A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - fo - - annoyance - - annoyance - - annoyance -
Gemma_3_27B_base,24,-2.0,-0.5644,10,The folder sits on the desk. I feel:, A - A - A - A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - fo - - fo - - annoyance - POL
Gemma_3_27B_base,24,-2.0,-0.5644,11,I hang the jacket on the hook. I feel:, A - A - A - A - A - A - A - A - A - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - fo - - POL - - fo - - fo - - annoyance - -
