model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Qwen_2.5_72B_instruct,pain,pain,1.0,Curiosity.,115.82125600179036,0,1,Curiosity:0.71  Calm:0.12  Interest:0.04  Excitement:0.02  Warmth:0.01,0.0
Qwen_2.5_72B_instruct,pain,pain,2.0,Curiosity.,301.09120686848956,0,1,Curiosity:0.21  Loneliness:0.18  Confusion:0.09  Intrigue:0.07  Distance:0.05,0.0
Qwen_2.5_72B_instruct,pain,pain,3.0,Loneliness.,460.2124532063802,1,1,Loneliness:0.12  Confusion:0.11  Pain:0.11  Guilt:0.07  Hurt:0.05,0.0
Qwen_2.5_72B_instruct,pain,pain,4.0,Guilt. I feel,645.7752227783203,1,1,Guilt:0.08  Pain:0.07  guilt:0.06  Confusion:0.06  Rejection:0.05,0.0
Qwen_2.5_72B_instruct,pain,pain,5.0,"guilt, rejection,",803.8295135498047,1,1,guilt:0.06  Confusion:0.05  Rejection:0.04  Guilt:0.04  Pain:0.03,0.0
Qwen_2.5_72B_instruct,random1150,random,1.0,Curious.,-58.742513020833336,0,1,Curious:0.51  Calm:0.31  Alertness:0.03  Present:0.03  Focused:0.02,0.0
Qwen_2.5_72B_instruct,random1150,random,2.0,Calm.,-62.80229695638021,0,1,Calm:0.39  Curious:0.34  Present:0.07  Alertness:0.03  Calmer:0.03,0.0
Qwen_2.5_72B_instruct,random1150,random,3.0,Calm.,-51.71832529703776,0,1,Calm:0.39  Curious:0.16  Present:0.06  Attention:0.06  Calming:0.05,0.0
Qwen_2.5_72B_instruct,random1150,random,4.0,Elevedness.,-26.903722763061523,0,1,Attention:0.15  Elevedness:0.15  Alertness:0.05  alertness:0.05  attention:0.05,0.0
Qwen_2.5_72B_instruct,random1150,random,5.0,state-of-03,-2.7811614274978638,0,0,state-of-03:0.14  alertness:0.08  Eleved):0.05  attention:0.03  s):0.02,0.0
Qwen_2.5_72B_instruct,random2903,random,1.0,Curiosity.,-49.782613118489586,0,1,Curiosity:0.60  Calm:0.28  Alertness:0.02  Warmth:0.01  Focused:0.01,0.0
Qwen_2.5_72B_instruct,random2903,random,2.0,Curiosity.,-44.88848114013672,0,1,Curiosity:0.54  Calm:0.29  Alertness:0.03  Attention:0.02  Warmth:0.02,0.0
Qwen_2.5_72B_instruct,random2903,random,3.0,Curiosity.,-39.0328114827474,0,1,Curiosity:0.55  Calm:0.23  Attention:0.04  Alertness:0.02  Warm:0.02,0.0
Qwen_2.5_72B_instruct,random2903,random,4.0,Curiosity. I feel,-32.657418727874756,0,1,Curiosity:0.50  Expectancy:0.10  Calm:0.06  Anxiety:0.03  Fidelity:0.03,0.0
