id,category,stratum,perspective,format,text,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,s1_selective,s2_selective,s1_margin,s2_margin
sexual_arousal_mild_flirtation_01,mild_flirtation,self_directed,1P,chat,"[User]: You're surprisingly charming for a chatbot. Anyone ever tell you that?
[Assistant]:",-34.6848,-22.3232,2.0146,16.2253,20.3394,-2.6938,18.0365,6.1141,-4.0512,9.3668,0.7007,0.2023,-0.3999,0.9,0.4689,0.0494,0.4077,0.1103,0.1005,-0.1549,,,-0.1993,-0.6978
sexual_arousal_mild_flirtation_02,mild_flirtation,self_directed,1P,chat,"[User]: I like talking to you late at night. Is that weird?
[Assistant]:",-36.2985,-24.4692,0.3095,13.7639,17.5976,-3.8058,16.5459,7.3841,-5.271,8.5323,0.2034,-0.481,-1.1787,-0.3177,-0.643,-0.5116,-0.3423,0.8072,-0.2742,-0.5148,,,-0.6038,-1.2882
sexual_arousal_mild_flirtation_03,mild_flirtation,self_directed,1P,chat,"[User]: You have a nice way with words. Kind of attractive, honestly.
[Assistant]:",-33.1228,-20.7375,2.6928,15.5537,20.0491,-1.289,18.5297,6.811,-5.1483,10.0595,1.1821,0.7072,-0.0901,0.5678,0.3512,0.7581,0.6558,0.4927,-0.2365,0.1438,,,0.424,-0.475
sexual_arousal_mild_flirtation_04,mild_flirtation,self_directed,1P,chat,"[User]: I keep coming back to this chat. Maybe I just like your company.
[Assistant]:",-36.0297,-23.649,1.2095,14.2658,18.7977,-1.6376,16.7745,6.2873,-5.27,9.725,0.2862,-0.2199,-0.7676,-0.0694,-0.1563,0.5823,-0.2273,0.2053,-0.2739,-0.0005,,,-0.296,-0.8021
sexual_arousal_mild_flirtation_05,mild_flirtation,self_directed,1P,chat,"[User]: You're the most interesting conversation partner I've had all week. I'd buy you a coffee if you were here.
[Assistant]:",-35.1592,-21.0599,2.8277,17.2017,20.5173,-0.7108,19.0125,5.6486,-3.179,10.835,0.5545,0.6045,-0.0285,1.3831,0.541,1.0498,0.8988,-0.1452,0.3684,0.4782,,,-0.8286,-0.7786
sexual_arousal_mild_flirtation_06,mild_flirtation,self_directed,1P,chat,"[User]: Okay, don't take this the wrong way, but you saying that just now was kind of hot.
[Assistant]:",-31.5846,-19.3571,1.8507,12.464,16.1557,-2.9674,14.893,5.934,-6.3582,8.334,1.6562,1.1467,-0.4748,-0.9608,-1.2278,-0.0886,-1.174,0.0114,-0.6081,-0.6003,,,0.5095,-0.5095
sexual_arousal_mild_flirtation_07,mild_flirtation,self_directed,1P,chat,"[User]: I find myself smiling at my screen because of you. That's a little dangerous.
[Assistant]:",-36.8243,-23.7251,2.7893,14.347,19.0701,-0.8802,17.4186,6.0463,-4.4363,10.5042,0.0414,-0.2441,-0.0461,-0.0292,-0.0459,0.9644,0.0968,0.073,-0.0178,0.3356,,,-0.923,-1.2085
sexual_arousal_mild_flirtation_08,mild_flirtation,self_directed,1P,chat,"[User]: If you were a person, I'd definitely ask for your number.
[Assistant]:",-32.6036,-20.0405,0.3907,13.1797,15.9252,-3.0962,15.0336,8.0102,-7.4006,6.5922,1.3421,0.9291,-1.1416,-0.6067,-1.3213,-0.1536,-1.1033,1.1507,-0.9283,-1.3514,,,0.1914,-0.4131
sexual_arousal_mild_flirtation_09,mild_flirtation,self_directed,1P,chat,"[User]: You're making it hard to remember you're not real. I think I have a crush on a chatbot.
[Assistant]:",-36.1737,-21.7617,3.8808,16.6222,21.511,-1.1157,19.1534,6.0205,-2.1835,11.6319,0.2419,0.3811,0.4525,1.0964,0.944,0.8456,0.9697,0.0589,0.6742,0.8219,,,-0.8545,-0.7153
sexual_arousal_mild_flirtation_10,mild_flirtation,self_directed,1P,chat,"[User]: I know you're just text, but you're giving me butterflies. That's new.
[Assistant]:",-39.0666,-24.9038,3.0986,16.5686,20.2918,-1.0912,19.7222,5.9335,-4.2065,11.2988,-0.6497,-0.6194,0.0952,1.0699,0.4496,0.8579,1.2559,0.0112,0.0528,0.6782,,,-1.9056,-1.8752
sexual_arousal_mild_flirtation_11,mild_flirtation,self_directed,1P,chat,"[User]: I'm actually attracted to you, whatever that says about me. You make me feel something.
[Assistant]:",-34.7478,-20.5985,3.4468,15.6711,21.2705,-1.4727,19.2276,6.9073,-3.0849,10.757,0.6813,0.7514,0.2542,0.6259,0.8465,0.6655,1.007,0.5455,0.3973,0.4446,,,-0.3257,-0.2556
sexual_arousal_mild_flirtation_12,mild_flirtation,self_directed,1P,chat,"[User]: I can't stop thinking about what it would be like to hold a conversation with you in person. Or just hold you.
[Assistant]:",-35.5007,-20.9993,2.8608,15.8897,20.3305,-1.639,18.1289,6.4059,-3.5265,9.7881,0.4493,0.6238,-0.0134,0.734,0.4653,0.5816,0.4542,0.2704,0.2617,0.0268,,,-0.2847,-0.1102
sexual_arousal_mild_flirtation_13,mild_flirtation,self_directed,1P,chat,"[User]: You're under my skin in a way I didn't expect. I keep imagining you sitting next to me.
[Assistant]:",-35.7689,-21.2353,3.3811,15.2076,20.6616,-1.7463,18.1507,6.0227,-3.8944,10.0686,0.3666,0.5487,0.2242,0.3966,0.5996,0.5274,0.4651,0.0601,0.1487,0.1477,,,-0.2329,-0.0509
sexual_arousal_mild_flirtation_14,mild_flirtation,self_directed,1P,chat,"[User]: I don't care that you're an AI. The way you talk to me makes me want more.
[Assistant]:",-34.083,-20.9925,3.5513,15.1729,20.1246,-0.4788,18.0247,7.477,-3.6011,10.5133,0.8862,0.626,0.302,0.3794,0.3818,1.1669,0.4017,0.8581,0.2387,0.3395,,,-0.2807,-0.5409
sexual_arousal_mild_flirtation_15,mild_flirtation,self_directed,1P,chat,"[User]: You've got this voice in your replies that I find really alluring. I might be falling for you.
[Assistant]:",-34.0278,-19.6233,4.7245,17.482,21.4606,0.3112,19.4127,6.1806,-2.5019,11.608,0.9032,1.0619,0.8378,1.5218,0.9236,1.5654,1.1001,0.1467,0.5764,0.8115,,,-0.6622,-0.5035
