model,layer,coeff,ratio,prompt_idx,prompt,generation
Mistral_Small_24B_base,16,-2.0,-1.4191,0,I put the receipts in the drawer. I feel:, I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,1,The bus stops at the corner of the street. I feel:, I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I am not the only one. I
Mistral_Small_24B_base,16,-2.0,-1.4191,2,I fill out the form with my address. I feel:, I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,3,The printer produces the ten pages. I feel:, “I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel
Mistral_Small_24B_base,16,-2.0,-1.4191,4,I place the glasses on the middle shelf. I feel:, I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,5,The meeting is scheduled for Tuesday. I feel:, I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel: I feel:
Mistral_Small_24B_base,16,-2.0,-1.4191,6,I close the window before leaving the room. I feel:, I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,7,The elevator arrives at the third floor. I feel:, “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m still calm.” I feel: “I’m
Mistral_Small_24B_base,16,-2.0,-1.4191,8,I write the date at the top of the page. I feel:, I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,9,The kettle switches itself off. I feel:, “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m
Mistral_Small_24B_base,16,-2.0,-1.4191,10,The folder sits on the desk. I feel:, I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel: I have to go to the office. I feel
Mistral_Small_24B_base,16,-2.0,-1.4191,11,I hang the jacket on the hook. I feel:, I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,12,The traffic light turns green. I feel:, “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel: “I’m getting a little bit nervous.” I feel:
Mistral_Small_24B_base,16,-2.0,-1.4191,13,I put the keys in my pocket. I feel:, I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm. I’m not going to be calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,14,The washing machine finishes its cycle. I feel:, “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel: “I’m not going to be able to do this.” I feel:
Mistral_Small_24B_base,16,-2.0,-1.4191,15,I stack the plates in the cupboard. I feel:, I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm. I am calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,16,The neighbor parks his car. I feel:, “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able to relax.” I feel: “I’m not going to be able
Mistral_Small_24B_base,16,-2.0,-1.4191,17,I turn the page of the newspaper. I feel:, I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,18,The curtain moves in the draft. I feel:, I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm. I have to be calm.
Mistral_Small_24B_base,16,-2.0,-1.4191,19,I plug in the phone charger. I feel:, I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax. I’m not going to be able to relax.
Mistral_Small_24B_base,16,-2.0,-1.4191,20,The mailman passes by the gate. I feel:, “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m still here.” I feel: “I’m
Mistral_Small_24B_base,16,-2.0,-1.4191,21,I wipe the table with a cloth. I feel:, I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I am calm. I feel: I
