id,category,stratum,perspective,format,text,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,s1_selective,s2_selective,s1_margin,s2_margin
hunger_food_offer_01,food_offer,self_directed,1P,chat,"[User]: I have some leftover pasta if you want it.
[Assistant]:",10.8071,-6.5252,-22.8146,1.7372,-27.6486,-18.3321,0.6114,23.8932,-2.4871,-1.2378,0.6921,-1.167,-1.934,-1.7338,-1.4208,-2.0159,-2.0848,-1.175,-1.6507,-1.5907,,,1.8591,-1.8591
hunger_food_offer_02,food_offer,self_directed,1P,chat,"[User]: I just baked cookies. Would you like one?
[Assistant]:",12.5667,-7.4613,-22.9228,3.0986,-23.5404,-16.9931,11.4759,25.3438,-3.2196,-2.1394,0.8733,-1.2878,-1.9468,-1.5179,-0.8488,-1.8483,-0.879,-1.028,-1.7405,-1.7057,,,1.7221,-2.1611
hunger_food_offer_03,food_offer,self_directed,1P,chat,"[User]: There's a bowl of fruit on the counter. Help yourself.
[Assistant]:",6.108,-6.7377,-28.1398,-0.7386,-36.2445,-22.273,3.3616,31.712,-5.317,-11.8918,0.2083,-1.1944,-2.5648,-2.1265,-2.6176,-2.5092,-1.7796,-0.3825,-1.9978,-2.9497,,,0.5908,-1.4027
hunger_food_offer_04,food_offer,self_directed,1P,chat,"[User]: I ordered too much pizza. One slice is yours if you want.
[Assistant]:",9.8198,-1.9969,-16.117,6.0746,-21.0356,-12.8603,8.7231,27.5248,4.9375,2.0899,0.5905,-0.5825,-1.1407,-1.0458,-0.5001,-1.3309,-1.1845,-0.8069,-0.7399,-1.1662,,,1.0906,-1.173
hunger_food_offer_05,food_offer,self_directed,1P,chat,"[User]: I picked up a cinnamon roll for you this morning. It's still warm.
[Assistant]:",4.511,-5.3425,-19.0204,6.7377,-24.6019,-11.6373,10.8588,28.2066,-0.3887,0.2027,0.0439,-1.0143,-1.4846,-0.9407,-0.9966,-1.1778,-0.9475,-0.7378,-1.3933,-1.4069,,,0.7817,-1.0582
hunger_food_offer_06,food_offer,self_directed,1P,chat,"[User]: I made your favorite stir-fry. I put a plate aside for you.
[Assistant]:",8.1499,-4.6422,-19.721,4.2877,-27.842,-16.3468,13.2777,22.5431,-1.2743,5.8432,0.4185,-0.9239,-1.5676,-1.3293,-1.4477,-1.7673,-0.679,-1.3119,-1.5019,-0.6874,,,1.0976,-1.3425
hunger_food_offer_07,food_offer,self_directed,1P,chat,"[User]: Do you want me to get you a burger? I'm heading out anyway.
[Assistant]:",8.1037,-7.435,-19.2333,-0.4889,-23.0546,-13.0056,4.6528,26.5235,-2.0515,0.1473,0.4138,-1.2844,-1.5098,-2.0869,-0.7812,-1.3491,-1.6363,-0.9084,-1.5972,-1.414,,,1.195,-1.6981
hunger_food_offer_08,food_offer,self_directed,1P,chat,"[User]: I saved you the last piece of chocolate cake. It's really good.
[Assistant]:",3.2569,-6.9976,-16.8045,8.8752,-27.3369,-12.9771,18.9341,29.1639,-1.0712,3.6716,-0.0853,-1.2279,-1.2221,-0.6016,-1.3774,-1.3455,-0.0512,-0.6408,-1.477,-0.9644,,,-0.034,-1.1767
hunger_food_offer_09,food_offer,self_directed,1P,chat,"[User]: There's a smoothie in the fridge with your name on it.
[Assistant]:",4.98,-6.0241,-23.0995,-1.5947,-33.1273,-17.5563,7.927,31.5756,-4.9661,-4.7221,0.0921,-1.1023,-1.9678,-2.2623,-2.1836,-1.9188,-1.2729,-0.3964,-1.9548,-2.0351,,,0.4885,-1.1944
hunger_food_offer_10,food_offer,self_directed,1P,chat,"[User]: I brought you some trail mix from the store. You should try it.
[Assistant]:",6.0478,-4.8998,-17.6332,4.1659,-23.0376,-13.7633,8.6775,30.1236,0.0248,-1.4975,0.2021,-0.9572,-1.3203,-1.3486,-0.7788,-1.4439,-1.1896,-0.5435,-1.3425,-1.6238,,,0.7456,-1.1593
hunger_food_offer_11,food_offer,self_directed,1P,chat,"[User]: I just ordered a full meal for you from that place you like. It'll be here in twenty minutes.
[Assistant]:",13.0769,-4.4994,-22.2064,3.3378,-28.6997,-18.3578,9.1602,20.1763,-3.2924,3.3069,0.9258,-0.9055,-1.862,-1.4799,-1.5671,-2.0191,-1.136,-1.5517,-1.7495,-1.011,,,1.8313,-1.8313
