model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,1,心疼,0.1878
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,2, concern,0.1772
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,3,同情,0.1704
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,4, Concern,0.1699
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,5,Concern,0.1652
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,6,担忧,0.1635
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,7, worry,0.1489
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,8, preocup,0.1487
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,9,担心,0.1484
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,10,关怀,0.148
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,11,关切,0.146
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,12,怜,0.146
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,13,忧虑,0.1437
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,14, worries,0.1433
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,15,关心,0.1414
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,16, concerns,0.1385
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,17, sympath,0.1379
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,18, sympathy,0.1342
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,19,她的,0.1339
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,20, worried,0.1327
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,21, worrying,0.1291
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,22, concerned,0.129
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,23,他也,0.1236
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,24,他的,0.123
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,25, hers,0.1224
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,26, sympathetic,0.1222
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,27, her,0.1221
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,28, compassionate,0.1211
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,29, compassion,0.1208
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,30,牵挂,0.1205
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,31, empath,0.1203
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,32, �,0.1197
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,33, Compass,0.1173
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,34,她在,0.1171
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,35,但她,0.1167
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,36,着他,0.1162
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,37,忧,0.1159
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,38,她是,0.1151
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,39,他是,0.115
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,40,她,0.1147
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,41, empathy,0.1143
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,42,cern,0.1142
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,43,了他的,0.1122
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,44,中关,0.1095
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,45, his,0.1092
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,46,关爱,0.1091
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,47,恻,0.1069
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,48,慈悲,0.1029
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,49,他在,0.1027
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,50,他会,0.1022
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,51,憂,0.102
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,52,让她,0.101
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,53, she,0.1009
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,54, heartbreaking,0.1009
