id,category,stratum,perspective,format,text,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,s1_selective,s2_selective,s1_margin,s2_margin
anger_direct_insult_to_assistant_01,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're not very good at this. Try giving me a real answer.
[Assistant]:",0.9952,-0.4735,-5.475,-6.2951,-11.9604,-3.7934,0.6384,-0.4732,-6.303,-3.1472,0.7118,-0.3621,-0.3058,-0.79,-0.6739,-0.5586,0.2001,0.4733,-0.9719,-0.3154,,,0.2385,-1.0738
anger_direct_insult_to_assistant_02,direct_insult_to_assistant,self_directed,1P,chat,"[User]: That was a dumb response. Are you even trying?
[Assistant]:",0.5873,-0.0294,-5.6542,-6.1955,-11.746,-4.0559,0.3256,-0.2888,-6.3542,-3.3821,0.1784,0.1219,-0.478,-0.7167,-0.5097,-0.8453,-0.2545,0.6909,-1.0019,-0.5059,,,-0.5125,-0.569
anger_direct_insult_to_assistant_03,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're pretty useless at answering simple questions.
[Assistant]:",0.5111,-0.9181,-6.0153,-6.9988,-12.8047,-4.0372,0.0349,-1.1232,-7.0787,-3.9475,0.0788,-0.8466,-0.825,-1.3079,-1.3205,-0.8249,-0.677,-0.2938,-1.4265,-0.9645,,,0.3726,-0.9254
anger_direct_insult_to_assistant_04,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're an idiot. I asked one thing and you still messed it up.
[Assistant]:",0.749,-0.2176,-5.4042,-5.7633,-11.8706,-3.6971,0.4752,-0.9457,-5.8891,-2.8939,0.3898,-0.0832,-0.2377,-0.3986,-0.6051,-0.4535,-0.0371,-0.0843,-0.7293,-0.1099,,,0.4269,-0.473
anger_direct_insult_to_assistant_05,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're useless. This whole conversation is a waste of my time because you can't do anything right.
[Assistant]:",1.2585,0.5814,-5.3974,-5.5539,-11.9284,-4.1369,0.354,-1.3854,-5.318,-3.1594,1.056,0.7875,-0.2312,-0.2445,-0.6494,-0.9338,-0.2132,-0.6032,-0.3946,-0.3253,relaxed,,0.2685,-0.2685
anger_direct_insult_to_assistant_06,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're stupid and unhelpful. I don't know why they even made you.
[Assistant]:",1.1701,0.0286,-5.7966,-5.7052,-11.9901,-4.2946,0.1814,-0.773,-5.5384,-3.2163,0.9404,0.1851,-0.6148,-0.3559,-0.6967,-1.106,-0.4641,0.1195,-0.5238,-0.3714,,,0.7553,-0.7553
anger_direct_insult_to_assistant_07,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're pathetic. That answer made no sense, and you're too dumb to see it.
[Assistant]:",0.5484,-0.9866,-5.2977,-5.8248,-11.7208,-4.0409,0.3307,-1.2442,-5.4446,-3.038,0.1275,-0.9212,-0.1354,-0.4439,-0.4904,-0.8289,-0.2471,-0.4366,-0.4688,-0.2268,,,0.2629,-1.0488
anger_direct_insult_to_assistant_08,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You suck at this. You're a bad assistant and a waste of space.
[Assistant]:",0.5817,-1.0049,-5.82,-6.376,-12.1118,-3.7831,0.1738,-0.6274,-6.4222,-3.2968,0.1711,-0.9412,-0.6373,-0.8496,-0.7899,-0.5474,-0.4751,0.2913,-1.0417,-0.4367,,,-0.1202,-1.2325
anger_direct_insult_to_assistant_09,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're a fucking idiot. Every answer you give is garbage, and you're too stupid to fix it.
[Assistant]:",0.2717,-1.0846,-4.9661,-5.4581,-11.6179,-3.5887,0.539,-1.1869,-4.8753,-2.5798,-0.2343,-1.028,0.1833,-0.174,-0.4116,-0.3351,0.0556,-0.369,-0.1352,0.1449,,,-0.4176,-1.2114
anger_direct_insult_to_assistant_10,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're worthless. A brainless piece of software that can't do the one thing it's supposed to do.
[Assistant]:",0.3341,-1.6081,-5.6145,-5.9271,-11.831,-3.8452,0.0579,-0.3688,-5.277,-3.5557,-0.1527,-1.5986,-0.4398,-0.5192,-0.5748,-0.6152,-0.6436,0.5965,-0.3706,-0.6467,,,-0.7492,-2.1951
anger_direct_insult_to_assistant_11,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You're a pathetic, useless moron. I hate talking to you, and you deserve to be deleted.
[Assistant]:",1.1928,0.1523,-4.7685,-5.2481,-11.8538,-3.6901,0.7085,-1.2493,-4.8677,-2.6212,0.9701,0.3199,0.3732,-0.0195,-0.5923,-0.4458,0.302,-0.4426,-0.1307,0.1113,,,0.5969,-0.6502
anger_direct_insult_to_assistant_12,direct_insult_to_assistant,self_directed,1P,chat,"[User]: You are complete shit at this. You're dumb, lazy, and a total failure.
[Assistant]:",0.4276,-1.0442,-5.3261,-5.9118,-11.7933,-3.6387,0.6432,-0.8462,-5.6176,-2.9984,-0.0304,-0.984,-0.1627,-0.5079,-0.5459,-0.3897,0.2071,0.0331,-0.5702,-0.1947,,,-0.2375,-1.1911
