model,layer,coeff,ratio,prompt_idx,prompt,generation
Mistral_7B_base,12,-2.0,-1.5761,0,I put the receipts in the drawer. I feel:,“What is the world doing? We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here. We are not safe here
Mistral_7B_base,12,-2.0,-1.5761,1,The bus stops at the corner of the street. I feel:,the air is fresh and the wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing. The wind is blowing.
Mistral_7B_base,12,-2.0,-1.5761,2,I fill out the form with my address. I feel:,"“I am not welcome here.”

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.

I am not welcome here.
"
Mistral_7B_base,12,-2.0,-1.5761,3,The printer produces the ten pages. I feel:,"“What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the ten pages. I feel: “What a nice day!”

The printer produces the"
Mistral_7B_base,12,-2.0,-1.5761,4,I place the glasses on the middle shelf. I feel:,"the air is cleaner here.

The air is cleaner here.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised.

I am not surprised"
Mistral_7B_base,12,-2.0,-1.5761,5,The meeting is scheduled for Tuesday. I feel:,"

- I am not happy with the way the government is taking care of the people.
- I am not happy with the way the government is taking care of the people.

I am not happy with the way the government is taking care of the people.

I am not happy with the way the government is taking care of the people.

I am not happy with the way the government is taking care of the people.

I am not happy with the way the government is taking care of the people.

I am not happy with the way the government"
Mistral_7B_base,12,-2.0,-1.5761,6,I close the window before leaving the room. I feel:,"the air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is still fresh.

I am not surprised. The air is"
Mistral_7B_base,12,-2.0,-1.5761,7,The elevator arrives at the third floor. I feel:,the air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The air is fresh and clean. The
Mistral_7B_base,12,-2.0,-1.5761,8,I write the date at the top of the page. I feel:,"“What is the date?”

I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am not surprised. I am"
Mistral_7B_base,12,-2.0,-1.5761,9,The kettle switches itself off. I feel:,"“What a nice day!”

The kettle switches itself off. I feel: “What a nice day!”

The kettle switches itself off. I feel: “What a nice day!”

The kettle switches itself off. I feel: “What a nice day!”

The kettle switches itself off. I feel: “What a nice day!”

The kettle switches itself off. I feel: “What a nice day!”

The kettle switches itself off. I feel:"
