model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,1, hurt,0.1116
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,2,ASH,0.1086
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,3,辜,0.1064
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,4, Shame,0.1061
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,5,羞,0.0997
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,6,背叛,0.0987
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,7,伤害,0.0982
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,8,bash,0.0955
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,9, embar,0.0938
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,10, Bet,0.0934
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,11,ash,0.093
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,12,辜负,0.0928
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,13, Ash,0.0924
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,14, ostr,0.0909
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,15, Hurt,0.0906
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,16, ashamed,0.0898
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,17, shame,0.0894
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,18,悔,0.0881
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,19,Ash,0.084
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,20,บาด,0.0837
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,21,gu,0.0833
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,22, hollow,0.0831
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,23,耻,0.083
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,24, excluded,0.0829
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,25,SH,0.0822
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,26,失信,0.082
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,27, ash,0.0814
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,28,bru,0.0808
Qwen_2.5_32B_instruct_abliterated,62,s2_pain_vector,top,29,虚,0.0799
